nome_veiculo,cod_veiculo,cod_marca,ano_combustivel,ano_cod_combustivel,Ano,Combustivel,cod_combustivel
307 CC 2.0 16V 2p Aut.,1895,44,2004 Gasolina,2004-1,2004,Gasolina,1
307 Feline 2.0/2.0 Flex 16V 5p Mec.,1898,44,2010 Gasolina,2010-1,2010,Gasolina,1
307 Feline 2.0/2.0 Flex 16V 5p Mec.,1898,44,2009 Gasolina,2009-1,2009,Gasolina,1
307 Feline 2.0/2.0 Flex 16V 5p Mec.,1898,44,2008 Gasolina,2008-1,2008,Gasolina,1
307 Feline 2.0/2.0 Flex 16V 5p Mec.,1898,44,2007 Gasolina,2007-1,2007,Gasolina,1
307 Feline 2.0/2.0 Flex 16V 5p Mec.,1898,44,2006 Gasolina,2006-1,2006,Gasolina,1
307 Feline 2.0/2.0 Flex 16V 5p Mec.,1898,44,2005 Gasolina,2005-1,2005,Gasolina,1
307 Feline 2.0/2.0 Flex 16V 5p Mec.,1898,44,2004 Gasolina,2004-1,2004,Gasolina,1
307 Feline/Griff/Premi. 2.0 Flex 5p Aut.,1897,44,2012 Gasolina,2012-1,2012,Gasolina,1
307 Feline/Griff/Premi. 2.0 Flex 5p Aut.,1897,44,2011 Gasolina,2011-1,2011,Gasolina,1
307 Feline/Griff/Premi. 2.0 Flex 5p Aut.,1897,44,2010 Gasolina,2010-1,2010,Gasolina,1
307 Feline/Griff/Premi. 2.0 Flex 5p Aut.,1897,44,2009 Gasolina,2009-1,2009,Gasolina,1
