nome_veiculo,cod_veiculo,cod_marca,cod_veiculo_especifico
RS3 Sportback 2.5 TFSI Quattro S-tronic,5922,6,"[{'Label': '2018 Gasolina', 'Value': '2018-1'}, {'Label': '2016 Gasolina', 'Value': '2016-1'}, {'Label': '2013 Gasolina', 'Value': '2013-1'}, {'Label': '2012 Gasolina', 'Value': '2012-1'}]"
RS4 2.7 Avant V6 30V BI-TB Quattro 380cv,130,6,"[{'Label': '2001 Gasolina', 'Value': '2001-1'}]"
RS4 2.9 Avant V6 TFSI Quattro Tiptronic,8628,6,"[{'Label': '2022 Gasolina', 'Value': '2022-1'}, {'Label': '2021 Gasolina', 'Value': '2021-1'}, {'Label': '2019 Gasolina', 'Value': '2019-1'}]"
RS4 4.2 Avant 32V FSI Quattro S-tronic,6487,6,"[{'Label': '2015 Gasolina', 'Value': '2015-1'}, {'Label': '2014 Gasolina', 'Value': '2014-1'}, {'Label': '2013 Gasolina', 'Value': '2013-1'}]"
RS5 4.2 FSI V8 450cv Quattro S-Tron. 2p,5410,6,"[{'Label': '2015 Gasolina', 'Value': '2015-1'}, {'Label': '2014 Gasolina', 'Value': '2014-1'}, {'Label': '2013 Gasolina', 'Value': '2013-1'}, {'Label': '2012 Gasolina', 'Value': '2012-1'}, {'Label': '2011 Gasolina', 'Value': '2011-1'}]"
RS5 Coupê 2.9 V6 TFSI Quattro Tiptronic,8629,6,"[{'Label': '2019 Gasolina', 'Value': '2019-1'}]"
RS5 SPB. C.Plus Track 2.9 Quat. S-tronic,10681,6,"[{'Label': '32000 Gasolina', 'Value': '32000-1'}, {'Label': '2024 Gasolina', 'Value': '2024-1'}, {'Label': '2023 Gasolina', 'Value': '2023-1'}]"
RS5 SPB. Compet. Plus 2.9 Quat. S-tronic,10682,6,"[{'Label': '32000 Gasolina', 'Value': '32000-1'}, {'Label': '2024 Gasolina', 'Value': '2024-1'}, {'Label': '2023 Gasolina', 'Value': '2023-1'}]"
RS5 Sportback 2.9 V6 TFSI Quattro Tip.,9247,6,"[{'Label': '2023 Gasolina', 'Value': '2023-1'}, {'Label': '2022 Gasolina', 'Value': '2022-1'}, {'Label': '2021 Gasolina', 'Value': '2021-1'}]"
RS6 4.0 Avant TFSI BI-TB Quat.Tip.(Hib.),10227,6,"[{'Label': '32000 Gasolina', 'Value': '32000-1'}, {'Label': '2024 Gasolina', 'Value': '2024-1'}, {'Label': '2023 Gasolina', 'Value': '2023-1'}, {'Label': '2022 Gasolina', 'Value': '2022-1'}, {'Label': '2021 Gasolina', 'Value': '2021-1'}, {'Label': '2018 Gasolina', 'Value': '2018-1'}, {'Label': '2017 Gasolina', 'Value': '2017-1'}, {'Label': '2016 Gasolina', 'Value': '2016-1'}, {'Label': '2015 Gasolina', 'Value': '2015-1'}, {'Label': '2014 Gasolina', 'Value': '2014-1'}]"
RS6 4.2 450cv BI-TB Quattro Tiptronic 4p,131,6,"[{'Label': '2004 Gasolina', 'Value': '2004-1'}, {'Label': '2003 Gasolina', 'Value': '2003-1'}]"
RS6 4.2 Avant  BI-TB Quattro Tiptron. 5p,132,6,"[{'Label': '2004 Gasolina', 'Value': '2004-1'}, {'Label': '2003 Gasolina', 'Value': '2003-1'}]"
RS6 5.0 Avant.FSI V10 Bi-TB Quattro Tip.,5335,6,"[{'Label': '2011 Gasolina', 'Value': '2011-1'}, {'Label': '2010 Gasolina', 'Value': '2010-1'}]"
RS6 5.0 FSI V10 Bi-TB Quattro Tip.,5336,6,"[{'Label': '2011 Gasolina', 'Value': '2011-1'}, {'Label': '2010 Gasolina', 'Value': '2010-1'}]"
RS7 Sportback 4.0 TFSI Quattro Tiptronic,6883,6,"[{'Label': '2022 Gasolina', 'Value': '2022-1'}, {'Label': '2021 Gasolina', 'Value': '2021-1'}, {'Label': '2018 Gasolina', 'Value': '2018-1'}, {'Label': '2017 Gasolina', 'Value': '2017-1'}, {'Label': '2016 Gasolina', 'Value': '2016-1'}, {'Label': '2015 Gasolina', 'Value': '2015-1'}, {'Label': '2014 Gasolina', 'Value': '2014-1'}]"
